VarName1,VarName2,VarName3,VarName4,VarName5,VarName6,VarName7,VarName8,VarName9,VarName10,VarName11,VarName12,VarName13,VarName14,VarName15,VarName16,VarName17,VarName18,VarName19
11,0.49135637,-0.52961021,0.2758734,0.45310253,-0.56786405,-1,0.94077958,0.49441897,-0.70305329,-0.88340001,0.78859008,0.27024032,-0.3228935,0.68259348,0.03281839,-0.0923712,1.60221975,
12,0.4423749,-0.49747154,0.17777086,0.38727826,-0.55256818,-1,1.00505693,1.25149006,0.09597971,-0.91963644,0.94966972,0.20900224,-0.18496674,0.76425934,-0.02954543,-0.05782425,1.67069836,
13,0.34638701,-0.52912988,0.24321663,0.16364413,-0.71187275,-1,0.94174024,-0.50205396,-0.85896695,-0.78501386,1.12263159,0.24487007,-0.38693899,0.65126603,0.01772967,-0.00326217,1.77273696,
14,0.39213399,-0.48470617,0.24928518,0.29956181,-0.57727835,-1,1.03058765,-0.7435282,-1.20847769,-0.67184816,1.30394182,0.25567185,-0.61511043,0.47319976,-0.05281136,0.06302063,1.8728604,
15,0.41768242,-0.36979744,0.17530807,0.4655674,-0.32191246,-1,1.26040512,0.2230834,-0.51170335,-0.55786238,1.78789644,0.21443218,-0.61454463,0.42413811,-0.22518752,0.13884403,2.00378658,
16,0.34541208,-0.27633739,0.13525129,0.41448677,-0.20726271,-1,1.44732522,0.60478508,-0.61674445,-0.95346532,2.23269309,0.09462179,-0.50884352,0.32649655,-0.28592165,0.12038216,2.16010284,
17,0.29306992,-0.23730457,0.11585129,0.34883527,-0.18153922,-1,1.52539086,0.59235725,-0.69032925,-1.98691178,0.89691646,0.02832186,-0.40583133,0.21805322,-0.24536077,-0.10107663,2.00238739,
18,0.29900521,-0.24160352,0.07323461,0.35640689,-0.18420184,-1,1.51679295,0.43605792,-0.51364547,0.03461784,2.13595464,0.01864016,-0.35705557,0.16835489,-0.23410037,0.12606227,2.12574225,
19,0.28704321,-0.27887286,0.10791697,0.29521356,-0.27070251,-1,1.44225429,-0.24886459,-0.19799431,-0.76546986,1.71544131,0.07337493,-0.45023465,0.2066342,-0.12268553,0.14775584,2.15523121,
20,0.34507067,-0.3173358,0.10879385,0.37280554,-0.28960093,-1,1.3653284,0.01030408,0.1798828,-0.88705619,1.6601671,0.16237838,-0.49615517,0.32821824,-0.02948884,0.14079343,2.1831527,
21,0.36388675,-0.36104116,0.14155569,0.36673234,-0.35819558,-1,1.27791767,0.48628489,-0.50802724,-0.75647373,1.67951992,0.1576369,-0.44522186,0.30538561,0.05732585,0.16134,2.22684261,
22,0.37486571,-0.408605,0.09892923,0.34112643,-0.44234428,-1,1.18279001,1.47094092,0.3401763,-0.74912616,1.70039885,0.14044102,-0.21193559,0.47578574,0.14307232,0.17924677,2.28499586,
23,0.2852516,-0.51293429,0.14801862,0.05756891,-0.74061698,-1,0.97413142,0.6239862,0.27157962,-1.7106129,0.53131442,0.22762922,-0.15885187,0.64011823,0.3202574,0.00127484,2.13943329,
24,0.39005706,-0.60755206,0.24140669,0.17256206,-0.82504706,-1,0.78489588,0.56025542,-0.27812774,-0.92844145,0.67817901,0.31890787,-0.17105324,0.69948986,0.40885817,0.01533158,2.09020325,
25,0.47472025,-0.65674448,0.31818302,0.29269601,-0.83876871,-1,0.68651104,0.14590793,-0.53983144,-1.07879874,0.79977253,0.40445128,-0.2975491,0.71432339,0.43845578,-0.00349448,2.0948149,
26,0.50324472,-0.64292026,0.34297186,0.36356919,-0.78259579,-1,0.71415949,0.5953053,-0.84139151,-1.00964267,-0.04017272,0.35625933,-0.32027611,0.66034852,0.2385972,-0.00472412,1.92498548,
27,0.46489944,-0.56893111,0.30774613,0.36086777,-0.67296279,-1,0.86213777,0.03243573,-0.68156098,-1.08595673,-0.00956342,0.32503963,-0.43569352,0.61953906,-0.0063758,-0.02097064,1.76564814,
28,0.38981486,-0.45417074,0.19515039,0.32545898,-0.51852663,-1,1.09165851,-0.46155937,-0.5752776,-0.71573603,1.35250131,0.27138689,-0.59679264,0.56224403,-0.17137141,0.04007628,1.86468708,
29,0.33664813,-0.32919148,0.10431832,0.34410477,-0.32173484,-1,1.34161703,0.33139645,0.23978699,-1.16197649,1.60970739,0.19418866,-0.54581407,0.62942921,-0.29485125,-0.00033428,1.94536773,
30,0.27290704,-0.31471461,0.07062374,0.23109946,-0.35652218,-1,1.37057079,0.73577045,0.02054355,-0.54603652,1.7009246,0.1301917,-0.39865998,0.63353792,-0.26283849,0.09052527,2.02236495,
31,0.20453793,-0.32463272,0.05197612,0.08444313,-0.44472751,-1,1.35073456,0.8057738,0.55862549,-1.59201716,1.28933117,0.13052236,-0.2395884,0.74840853,-0.16141036,-0.04598321,2.00561128,
32,0.16282596,-0.4219935,0.11885965,-0.09634158,-0.68116104,-1,1.15601299,-0.37100697,-0.46956099,-0.79418154,1.6697114,0.19185711,-0.3310025,0.67361202,0.05884838,0.00437712,2.10722871,
33,0.28458323,-0.47517473,0.10426819,0.09399173,-0.66576623,-1,1.04965054,1.36849529,0.23231748,-0.7704369,1.65440264,0.24078355,-0.10493623,0.77542301,0.17256007,0.04941432,2.20673339,
34,0.23450273,-0.5858989,0.1894307,-0.11689344,-0.93729506,-1,0.82820221,0.81134725,-0.1082793,-0.52074931,1.45714979,0.32390826,-0.01548063,0.8330421,0.37857909,0.13538159,2.29117622,
35,0.29715135,-0.70887818,0.34845216,-0.11457547,-1.120605,-1,0.58224364,-0.14546185,0.06649761,-1.43710884,1.13904385,0.54778446,-0.16033741,0.96328448,0.63007095,0.02088351,2.34430102,
36,0.42802645,-0.76847537,0.41277714,0.08757753,-1.10892428,-1,0.46304927,0.85280003,-0.87782037,-1.32922548,0.19672849,0.53032892,-0.1289205,0.90245365,0.60837023,-0.04913829,2.22217666,
37,0.4843681,-0.74459662,0.46187886,0.22413958,-1.00482515,-1,0.51080675,-0.05897643,-1.12460226,-1.0744098,0.83503925,0.50125579,-0.30867893,0.79488112,0.50390578,-0.05419259,2.24258783,
38,0.44196595,-0.65298686,0.38941878,0.23094504,-0.86400778,-1,0.69402627,-0.32684562,-1.58343668,0.05036363,1.53443069,0.35660577,-0.48909865,0.58041231,0.25097753,0.16671865,2.36215115,
39,0.37653383,-0.50452506,0.21594973,0.2485426,-0.63251629,-1,0.99094988,0.77294545,-0.23589903,-0.61453813,1.1459397,0.23119034,-0.38730336,0.61896006,-0.08846011,0.2104673,2.32071888,
40,0.22740375,-0.37649922,0.1198704,0.07830828,-0.52559469,-1,1.24700156,0.28194203,-0.73365072,-1.73572565,1.31208191,0.06995129,-0.34441578,0.49903759,-0.24712403,0.02122871,2.26959118,
0,1.1,-0.1,1.13583341,2.1,0.9,-1,1.8,2.2,-1,-0.2,-0.2,0,0,0,0,0,0,
1,1,0,0.99205867,2,1,-1,2,2.20286327,0.96560392,-1.00857528,1.67939481,-0.04216092,0.04057265,0.19312078,0.00333739,-0.00171506,0.33587896,
2,0.97403492,-0.14402879,0.8426665,1.80404105,0.68597734,-1,1.71194241,1.11183393,0.15884582,-0.81372363,2.83474115,0.13977963,-0.13478906,0.24387731,0.02958281,0.03588323,0.89326292,
3,0.8762469,-0.32538304,0.56642906,1.42711076,0.22548083,-1,1.34923393,1.51623812,1.13091968,-0.19510888,2.34051242,0.23256063,-0.15508238,0.551439,0.06407777,0.18968481,1.31286603,
4,0.80430845,-0.52016164,0.55481101,1.08845526,-0.23601482,-1,0.95967673,0.32559341,-0.27982101,-1.36846893,0.48429057,0.47602252,-0.38067061,0.59325165,0.28282983,0.07805406,1.35521559,
5,0.91712538,-0.52974801,0.65458972,1.30450275,-0.14237064,-1,0.94050398,1.28150312,-0.26603938,-1.8207767,0.86201734,0.51174635,-0.41508601,0.63329265,0.38082274,-0.10171209,1.46847515,
